,statsbomb_xg,goal,player_shot,team,location_x,location_y,shot_distance,shot_angle,bodypart,technique,first_time,state_of_play,assist,assist_state_of_play
2982,0.16944304000000002,False,Rinsola Babajide,Liverpool WFC,109.0,51.0,15.556349186104045,135.0,Left Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
2983,0.00935615,False,Angharad James,Reading WFC,92.0,21.0,33.83784863137726,55.84,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
2984,0.06755519,False,Sophie Elizabeth Bradley-Auckland,Liverpool WFC,112.5,46.9,10.191172650877817,132.61,Head,Normal Shot,False,Open Play Shot,High Pass,Set Piece - Free Kick
2985,0.010285835,False,Brooke Chaplen,Reading WFC,84.5,39.9,35.500140844791034,89.84,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
2986,0.03031409,False,Guro Reiten,Chelsea FCW,104.4,23.6,22.634486961272174,43.57,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Throw In
2987,0.12743722,True,Maren Nævdal Mjelde,Chelsea FCW,109.3,47.7,13.182564242210242,125.74,Right Foot,Half Volley,True,Open Play Shot,Unassisted,No Assist
2988,0.86260307,True,Bethany England,Chelsea FCW,112.7,49.6,12.060265337047934,142.75,Right Foot,Normal Shot,False,Open Play Shot,Through Ball,Set Piece - Free Kick
2989,0.016719427000000002,False,Jonna Andersson,Chelsea FCW,104.5,21.8,23.90585702291386,40.42,Left Foot,Half Volley,False,Open Play Shot,Unassisted,No Assist
2990,0.06667495500000001,False,Maren Nævdal Mjelde,Chelsea FCW,101.5,25.7,23.38247206776905,52.3,Right Foot,Normal Shot,False,Set Piece - Direct Free Kick,Unassisted,No Assist
2991,0.012957927,False,Guro Reiten,Chelsea FCW,96.6,32.4,24.603251817595176,72.01,Right Foot,Half Volley,True,Open Play Shot,Unassisted,No Assist
2992,0.044346552000000004,False,Erin Cuthbert,Chelsea FCW,99.9,23.9,25.75305807083889,51.31,Right Foot,Normal Shot,False,Set Piece - Direct Free Kick,Unassisted,No Assist
2993,0.16141404,True,Sophie Ingle,Chelsea FCW,114.9,43.0,5.9169248769948,120.47,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Corner
2994,0.07586075,False,Kenza Dali,West Ham United LFC,98.6,43.9,21.752471123989572,100.33,Right Foot,Normal Shot,False,Open Play Shot,Low Pass,Set Piece - Throw In
2995,0.1859465,False,Jonna Andersson,Chelsea FCW,111.3,31.6,12.093386622447824,46.01,Right Foot,Normal Shot,True,Open Play Shot,Cut Back,Open Play Assist
2996,0.09543557,True,Erin Cuthbert,Chelsea FCW,97.1,40.3,22.901964981197587,90.75,Left Foot,Half Volley,False,Open Play Shot,Through Ball,Open Play - Counter Attack
2997,0.47736222,False,Bethany England,Chelsea FCW,105.5,33.9,15.730861387730807,67.18,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
2998,0.10576067,True,Bethany England,Chelsea FCW,113.6,41.2,6.5115282384398885,100.62,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Corner
2999,0.41577753,True,Maren Nævdal Mjelde,Chelsea FCW,118.2,37.3,3.2449961479175915,33.69,Right Foot,Volley,True,Open Play Shot,Cross,Open Play Assist
3000,0.047250465000000005,False,Katharina Baunach,West Ham United LFC,102.1,26.6,22.36000894454204,53.18,Right Foot,Half Volley,True,Open Play Shot,Cross,Set Piece - Kick Off
3001,0.027983204,False,Jacinta Galabadaarachchi,West Ham United LFC,97.9,48.6,23.7143416522576,111.26,Right Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
3002,0.13835618,False,Erin Cuthbert,Chelsea FCW,101.8,41.7,18.27922317824256,95.34,Right Foot,Normal Shot,True,Open Play Shot,Ground Pass,Open Play - Counter Attack
3003,0.20046598,False,Bethany England,Chelsea FCW,112.6,52.2,14.26884718538958,148.76,Right Foot,Half Volley,False,Open Play Shot,Ground Pass,Open Play Assist
3004,0.012869865,False,Ramona Bachmann,West Ham United LFC,87.3,56.3,36.537378121589406,116.49,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
3005,0.08560706,False,Erin Cuthbert,Chelsea FCW,111.8,38.9,8.273451516749226,82.36,Head,Normal Shot,False,Open Play Shot,Cross,Open Play Assist
3006,0.32923916000000003,False,Ramona Bachmann,Chelsea FCW,106.4,48.8,16.198765385053264,122.91,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Free Kick
3007,0.43264225,False,Ramona Bachmann,Chelsea FCW,108.5,37.3,11.812705024675765,76.79,Left Foot,Normal Shot,False,Open Play Shot,Ground Pass,Open Play - Counter Attack
3008,0.27732745000000003,True,Ramona Bachmann,Chelsea FCW,113.3,43.7,7.6537572472609865,118.91,Right Foot,Normal Shot,False,Open Play Shot,Unassisted,No Assist
3009,0.2162766,True,Emily Murphy,Chelsea FCW,114.6,42.6,5.993329625508684,115.71,Head,Normal Shot,False,Open Play Shot,Cross,Open Play Assist
3010,0.12630062,False,Josanne Potter,Reading WFC,114.7,35.1,7.218032973047433,47.25,Head,Normal Shot,False,Open Play Shot,Cross,Set Piece - Corner
3011,0.17466882,False,Fara Williams,Reading WFC,112.7,48.5,11.204463396343439,139.34,Right Foot,Normal Shot,True,Open Play Shot,Cross,Set Piece - Throw In
3012,0.3052508,False,Fara Williams,Reading WFC,112.8,45.8,9.245539465060977,128.85,Left Foot,Normal Shot,True,Open Play Shot,Unassisted,No Assist
3013,0.020934407,False,Josie Green,Tottenham Hotspur Women,99.5,19.9,28.709928596219115,45.56,Right Foot,Normal Shot,True,Open Play Shot,Ground Pass,Set Piece - Throw In
3014,0.03942178,False,Amalie Vevle Eikeland,Reading WFC,112.1,40.6,7.922752047110907,94.34,Head,Normal Shot,False,Open Play Shot,Unassisted,No Assist
3015,0.032146674,False,Brooke Chaplen,Reading WFC,96.9,43.8,23.410467744152392,99.34,Right Foot,Normal Shot,False,Open Play Shot,Ground Pass,Set Piece - Corner
