,inside_18,first_touch,Open Play,Open Play - Counter Attack,Open Play - Unassisted,Set Piece - Corner,Set Piece - Direct Free Kick,Set Piece - Free Kick,Set Piece - Goal Kick,Set Piece - Penalty,Set Piece - Throw In,time,shot_distance,shot_angle
5568,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2242840461135363,0.7710096302254987,-0.8445692379469646
5569,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.491186104888772,-0.3672535265926517,1.8387480611632434
5570,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2768068824412213,-0.1636690891311741,1.7092716603818205
5571,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0624276599936706,-1.0788700567082745,-1.2294592220466374
5572,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9909679191778205,-1.6426426045834,0.382064818658812
5573,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9195081783619703,3.247804532716473,-0.7528444984412189
5574,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7765886967302699,-1.0493023650855309,-0.5755886513577685
5575,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7765886967302699,0.14115792329472726,-0.6283819901729724
5576,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20491077020346815,1.3993951955265926,0.5115412194402345
5577,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08092819305993272,1.0708866873581373,-0.8947081630787228
5578,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15238793387578292,-0.6821057023725822,-1.1722418604256897
5579,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22384767469163314,1.3730600201845289,-0.6950372671128392
5580,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4382268971391838,-1.234767485452273,1.1421119366855217
5581,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7240658604025847,1.663992165533707,0.6846679785716577
5582,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0099048236659856,-0.08010254695135761,-0.31103208757431494
5583,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3672035277452366,-1.3991163023158337,-2.142872464005784
5584,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.510123009376937,-0.1291954049573829,1.4969185657061395
5585,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5815827501927873,-0.8619651409308774,-0.8156656222827747
5586,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6341055865204723,0.4286463893066046,-0.7162725765804073
5587,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4197263640729219,-1.3010456676021123,-1.6928018772348257
5588,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4197263640729219,-0.31503608471240285,-0.24231226665843475
5589,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3482666232570715,0.8798141698639396,-0.9560546126516974
5590,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3482666232570715,0.11643721676466641,0.05232765220407309
5591,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2768068824412213,1.1565935742007234,-0.32047000289323435
5592,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2053471416253712,1.798189364286109,0.16027380866421104
5593,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.133887400809521,-0.34967449062492456,0.991400226436531
5594,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0624276599936706,1.4840746914321417,0.22987843414123996
5595,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0624276599936706,1.938539082873725,-0.31103208757431494
5596,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9909679191778205,0.8529890592149726,-0.41514409093614213
5597,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7051289559144196,0.11643721676466641,-0.11637508412160713
5598,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6336692150985694,0.0491247923781869,0.9857964642159229
5599,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5622094742827192,-0.6994884278552274,-0.5755886513577685
5600,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3478302518351686,-1.425863633501413,-0.31103208757431494
5601,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3478302518351686,0.0059616037630887825,-0.12079910692735066
5602,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7955256012184349,-0.5343286905288351,-0.2718057520300572
5603,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0099048236659856,0.5927779963236697,-0.31103208757431494
5604,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0099048236659856,0.7172036984692485,-1.359230557681776
5605,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.510123009376937,-0.5033471584277841,0.9616118062111922
5606,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7055653273363227,0.28410250053586283,0.6109342651426016
5607,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.133887400809521,1.358932579297116,0.18475340152265762
5608,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0624276599936706,-0.4065701012377395,0.3015476035942826
5609,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5622094742827192,0.5653593984384682,-0.1724127063276899
5610,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3478302518351686,0.4479397270620443,-0.1054624945341067
5611,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20491077020346815,-0.6994884278552274,0.5115412194402345
