,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist1,assist2,assist3,assist_state_of_play,inside_18_width,inside_18_depth,inside_18,shot_distance,shot_angle
5981,96.0,50.0,2021-06-14 00:45:04.907,0.096789174,Off T,Vanessa DiBernardo,Chicago Red Stars,Right Foot,Normal,False,Free Kick,,,,,True,False,False,26.0,112.62
5982,92.0,46.0,2021-06-14 00:48:27.483,0.05570991300000001,Blocked,Morgan Brian,Chicago Red Stars,Right Foot,Normal,True,Open Play,Ground Pass,,,From Throw In,True,False,False,28.635642126552707,102.09
5983,111.0,52.0,2021-06-14 00:49:33.388,0.122676484,Saved,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,High Pass,Through Ball,Through Ball,From Counter,True,True,True,15.0,143.13
5984,119.0,25.0,2021-06-14 00:02:16.319,0.032731056,Off T,Vanessa DiBernardo,Chicago Red Stars,Right Foot,Normal,False,Open Play,Ground Pass,,,From Corner,True,True,True,15.033296378372908,3.81
5985,106.0,29.0,2021-06-14 00:02:51.563,0.059298977,Off T,Megan Rapinoe,Seattle Reign,Left Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,True,True,17.804493814764857,51.84
5986,101.0,29.0,2021-06-14 00:06:27.851,0.10825119999999999,Blocked,Danielle Colaprico,Chicago Red Stars,Right Foot,Normal,False,Free Kick,,,,,True,False,False,21.95449840010015,59.93
5987,106.0,58.0,2021-06-14 00:10:44.465,0.016897786,Off T,Alyssa Mautz,Chicago Red Stars,Right Foot,Half Volley,False,Open Play,Low Pass,,,From Free Kick,False,True,False,22.80350850198276,142.13
5988,112.0,31.0,2021-06-14 00:12:41.449,0.034890246,Wayward,Beverly Yanez,Seattle Reign,Head,Normal,False,Open Play,High Pass,,,Regular Play,True,True,True,12.041594578792296,41.63
5989,101.0,53.0,2021-06-14 00:15:52.385,0.03256187,Off T,Adriana Leon,Seattle Reign,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,False,False,23.021728866442675,124.38
5990,100.0,29.0,2021-06-14 00:21:09.010,0.033627465,Blocked,Vanessa DiBernardo,Chicago Red Stars,Left Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,22.825424421026653,61.19
5991,95.0,52.0,2021-06-14 00:21:13.820,0.019526182,Blocked,Morgan Brian,Chicago Red Stars,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,27.730849247724095,115.64
5992,91.0,37.0,2021-06-14 00:24:01.076,0.019846607000000002,Off T,Vanessa DiBernardo,Chicago Red Stars,Right Foot,Normal,False,Open Play,,,,,True,False,False,29.154759474226502,84.09
5993,113.0,45.0,2021-06-14 00:25:46.132,0.22903964000000002,Off T,Allie Long,Seattle Reign,Left Foot,Volley,False,Open Play,Low Pass,,Cross,From Free Kick,True,True,True,8.602325267042627,125.54
5994,90.0,45.0,2021-06-14 00:28:54.525,0.016863443000000002,Off T,Beverly Yanez,Seattle Reign,Right Foot,Normal,True,Open Play,,,,,True,False,False,30.4138126514911,99.46
5995,113.0,45.0,2021-06-14 00:31:15.118,0.103209116,Saved,Samantha Kerr,Chicago Red Stars,Head,Normal,False,Open Play,High Pass,,Cross,Regular Play,True,True,True,8.602325267042627,125.54
5996,104.0,39.0,2021-06-14 00:32:02.397,0.0938977,Off T,Morgan Brian,Chicago Red Stars,Right Foot,Normal,False,Open Play,Ground Pass,,,From Keeper,True,True,True,16.0312195418814,86.42
5997,105.0,45.0,2021-06-14 00:32:51.518,0.28266559999999996,Saved,Jasmyne Spencer,Seattle Reign,Right Foot,Normal,False,Open Play,High Pass,,,From Goal Kick,True,True,True,15.811388300841896,108.43
5998,104.0,28.0,2021-06-14 00:33:35.078,0.03264439,Off T,Jessica Fishlock,Seattle Reign,Left Foot,Normal,True,Open Play,,,,,True,True,True,20.0,53.13
5999,103.0,40.0,2021-06-14 00:35:31.664,0.05121729,Blocked,Megan Rapinoe,Seattle Reign,Left Foot,Normal,False,Open Play,Low Pass,,Cross,From Goal Kick,True,True,True,17.0,90.0
6000,112.0,39.0,2021-06-14 00:35:41.320,0.22369848,Off T,Beverly Yanez,Seattle Reign,Head,Normal,False,Open Play,Low Pass,,Cross,From Goal Kick,True,True,True,8.06225774829855,82.87
6001,112.0,38.0,2021-06-14 00:41:40.719,0.40299803,Goal,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,Low Pass,Through Ball,Through Ball,Regular Play,True,True,True,8.246211251235321,75.96
6002,108.0,63.0,2021-06-14 00:44:21.081,0.047338665,Saved,Rosie White,Chicago Red Stars,Left Foot,Normal,False,Open Play,,,,,False,True,False,25.942243542145693,152.45
6003,117.0,42.0,2021-06-14 00:48:56.701,0.34321666,Off T,Jasmyne Spencer,Seattle Reign,Right Foot,Half Volley,True,Open Play,High Pass,,,From Corner,True,True,True,3.605551275463989,123.69
6004,113.0,41.0,2021-06-14 00:04:41.460,0.37841266,Saved,Amy Rodriguez,Utah Royals,Left Foot,Normal,False,Open Play,Ground Pass,,,From Goal Kick,True,True,True,7.0710678118654755,98.13
6005,111.0,42.0,2021-06-14 00:07:19.999,0.21969318000000002,Goal,Amy Rodriguez,Utah Royals,Left Foot,Volley,False,Open Play,High Pass,,,From Free Kick,True,True,True,9.219544457292887,102.53
6006,108.0,27.0,2021-06-14 00:12:15.197,0.09661796,Off T,Rachel Hill,Orlando Pride,Left Foot,Normal,False,Open Play,Ground Pass,,,From Counter,True,True,True,17.69180601295413,42.71
6007,110.0,34.0,2021-06-14 00:17:18.946,0.1820675,Saved,Alex Morgan,Orlando Pride,Left Foot,Normal,False,Open Play,Ground Pass,,,From Throw In,True,True,True,11.661903789690601,59.04
6008,106.0,26.0,2021-06-14 00:26:53.092,0.049294399999999995,Off T,Alex Morgan,Orlando Pride,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,True,True,19.79898987322333,45.0
6009,113.0,48.0,2021-06-14 00:28:05.869,0.028919792000000003,Off T,Alanna Kennedy,Orlando Pride,Head,Normal,False,Open Play,High Pass,,,From Corner,True,True,True,10.63014581273465,138.81
6010,117.0,39.0,2021-06-14 00:33:51.480,0.22323683,Off T,Chioma Ubogagu,Orlando Pride,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,3.1622776601683795,71.57
6011,86.0,43.0,2021-06-14 00:42:57.656,0.021255104,Saved,Katie Bowen,Utah Royals,Right Foot,Normal,False,Free Kick,,,,,True,False,False,34.132096331752024,95.04
6012,109.0,41.0,2021-06-14 00:46:02.489,0.76,Goal,Alex Morgan,Orlando Pride,Left Foot,Normal,False,Penalty,,,,,True,True,True,11.045361017187261,95.19
6013,108.0,29.0,2021-06-14 00:02:12.785,0.07487892,Off T,Amy Rodriguez,Utah Royals,Left Foot,Half Volley,True,Open Play,,,,,True,True,True,16.278820596099706,47.49
6014,94.0,61.0,2021-06-14 00:06:49.635,0.18886395,Goal,Kristen Edmonds,Orlando Pride,Right Foot,Lob,True,Open Play,Ground Pass,,,Regular Play,False,False,False,33.421549934136806,128.93
6015,110.0,43.0,2021-06-14 00:13:29.328,0.09305143,Blocked,Amy Rodriguez,Utah Royals,Right Foot,Normal,False,Open Play,High Pass,,Cross,From Throw In,True,True,True,10.44030650891055,106.7
6016,98.0,42.0,2021-06-14 00:13:35.516,0.033061467000000004,Off T,Christen Press,Utah Royals,Left Foot,Normal,False,Open Play,Low Pass,,,From Throw In,True,False,False,22.090722034374522,95.19
6017,87.0,22.0,2021-06-14 00:19:10.679,0.28138423,Blocked,Sydney Leroux,Orlando Pride,Right Foot,Normal,False,Open Play,,,,,False,False,False,37.589892258425,61.39
6018,110.0,34.0,2021-06-14 00:20:06.941,0.015404461000000001,Off T,Alanna Kennedy,Orlando Pride,Head,Normal,False,Open Play,High Pass,,,From Corner,True,True,True,11.661903789690601,59.04
6019,114.0,24.0,2021-06-14 00:27:32.785,0.024206921000000003,Saved,Sydney Leroux,Orlando Pride,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,True,True,17.08800749063506,20.56
6020,112.0,47.0,2021-06-14 00:29:49.441,0.023980252,Wayward,Gunnhildur Yrsa Jónsdóttir,Utah Royals,Head,Normal,False,Open Play,High Pass,,Cross,From Free Kick,True,True,True,10.63014581273465,131.19
6021,87.0,22.0,2021-06-14 00:31:01.936,0.009560429,Blocked,Chioma Ubogagu,Orlando Pride,Left Foot,Normal,False,Open Play,Low Pass,,,Regular Play,False,False,False,37.589892258425,61.39
6022,77.0,23.0,2021-06-14 00:31:07.338,0.014038016,Off T,Toni Pressley,Orlando Pride,Left Foot,Normal,True,Open Play,Ground Pass,,,Regular Play,True,False,False,46.238512086787566,68.43
6023,110.0,41.0,2021-06-14 00:34:26.524,0.0688852,Saved,Rachel Hill,Orlando Pride,Head,Normal,False,Open Play,High Pass,,Cross,From Throw In,True,True,True,10.04987562112089,95.71
6024,112.0,36.0,2021-06-14 00:48:42.732,0.06364611,Off T,Rachel Corsie,Utah Royals,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,8.94427190999916,63.43
6025,83.0,38.0,2021-06-14 00:50:46.716,0.008787528000000001,Off T,Christen Press,Utah Royals,Right Foot,Normal,False,Open Play,High Pass,,,From Throw In,True,False,False,37.05401462729781,86.91
6026,92.0,46.0,2021-06-14 00:01:13.590,0.02356747,Off T,Samantha Kerr,Chicago Red Stars,Right Foot,Volley,True,Open Play,Ground Pass,,,From Throw In,True,False,False,28.635642126552707,102.09
6027,110.0,42.0,2021-06-14 00:02:05.261,0.09153869,Wayward,Samantha Kerr,Chicago Red Stars,Right Foot,Volley,False,Open Play,High Pass,,Cross,Regular Play,True,True,True,10.198039027185569,101.31
6028,107.0,34.0,2021-06-14 00:06:39.497,0.5205367,Saved,Imani Dorsey,Sky Blue FC,Right Foot,Normal,False,Open Play,Ground Pass,,,From Counter,True,True,True,14.317821063276353,65.22
6029,114.0,55.0,2021-06-14 00:10:46.339,0.1623935,Saved,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,True,Open Play,Ground Pass,,,Regular Play,True,True,True,16.15549442140351,158.2
6030,116.0,50.0,2021-06-14 00:15:32.325,0.15049717,Saved,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,Ground Pass,,,From Counter,True,True,True,10.770329614269007,158.2
6031,111.0,49.0,2021-06-14 00:16:51.626,0.17710906,Blocked,Samantha Kerr,Chicago Red Stars,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,True,True,12.727922061357855,135.0
6032,107.0,46.0,2021-06-14 00:20:15.500,0.36890858,Saved,Yuki Nagasato,Chicago Red Stars,Right Foot,Normal,True,Open Play,Ground Pass,,,Regular Play,True,True,True,14.317821063276353,114.78
6033,95.0,54.0,2021-06-14 00:27:56.679,0.047509648,Saved,Alyssa Mautz,Chicago Red Stars,Left Foot,Normal,False,Open Play,Ground Pass,,,From Throw In,True,False,False,28.653097563788805,119.25
6034,112.0,40.0,2021-06-14 00:34:51.082,0.6860512,Off T,Michele Vasconcelos,Chicago Red Stars,Right Foot,Normal,True,Open Play,Ground Pass,,,Regular Play,True,True,True,8.0,90.0
