,statsbomb_xg,goal,time,player,team,shot_distance,inside_18,shot_angle,bodypart,bodypart_angle,technique,first_touch,assist,state_of_play
4798,0.18662965,False,12,Martha Thomas,West Ham United LFC,5.500909015790027,True,88.96,Head,Left - Head,Ground,False,Cross,Set Piece - Corner
4799,0.19664295,True,14,Adriana Leon,West Ham United LFC,8.324061508662705,True,128.66,Right Foot,Right - Outside Foot,Volley,True,Cross,Set Piece - Throw In
4800,0.32046396,False,20,Melissa Lawley,Liverpool WFC,7.993122043357023,True,136.52,Right Foot,Right - Outside Foot,Volley,True,High Pass,Open Play
4801,0.019174173000000003,False,21,Jessica Anne Clarke,Liverpool WFC,26.13446000972663,False,41.74,Right Foot,Left - Inside Foot,Ground,False,Ground Pass,Open Play
4802,0.40895557,True,25,Rachel Furness,Liverpool WFC,9.360555539069246,True,130.67,Left Foot,Right - Inside Foot,Volley,True,Unassisted,Open Play - Unassisted
4803,0.07112746,False,38,Alisha Lehmann,West Ham United LFC,22.462858233092238,False,83.1,Right Foot,Left - Inside Foot,Ground,False,Low Pass,Open Play
4804,0.015287794,False,39,Rebecca Jane,Liverpool WFC,27.539244724574424,False,112.19,Right Foot,Right - Outside Foot,Volley,True,Unassisted,Open Play - Unassisted
4805,0.03204055,False,40,Sophie Elizabeth Bradley-Auckland,Liverpool WFC,13.43577314485474,True,45.6,Right Foot,Left - Inside Foot,Volley,False,Unassisted,Open Play - Unassisted
4806,0.19025019,False,40,Rachel Furness,Liverpool WFC,13.008458786497352,True,56.92,Left Foot,Left - Outside Foot,Ground,True,Low Pass,Open Play
4807,0.06337097,False,40,Niamh Charles,Liverpool WFC,7.843468620451037,True,70.64,Head,Left - Head,Ground,False,Cross,Set Piece - Corner
4808,0.14721262000000002,False,41,Sophie Elizabeth Bradley-Auckland,Liverpool WFC,7.523961722390678,True,66.5,Head,Left - Head,Ground,False,High Pass,Set Piece - Free Kick
4809,0.027715605,True,43,Rachel Furness,Liverpool WFC,8.988882021697698,True,110.85,Head,Right - Head,Ground,False,Cross,Set Piece - Corner
4810,0.016911726000000002,False,46,Alisha Lehmann,West Ham United LFC,22.141589825484534,False,149.61,Right Foot,Right - Outside Foot,Ground,False,Ground Pass,Open Play
4811,0.07973134,False,47,Adriana Leon,West Ham United LFC,15.520631430454113,True,31.03,Left Foot,Left - Outside Foot,Ground,False,Cross,Set Piece - Throw In
4812,0.038799934,False,5,Brianna Visalli,Birmingham City WFC,22.58871399615304,False,64.57,Right Foot,Left - Inside Foot,Ground,True,Ground Pass,Set Piece - Throw In
4813,0.054676183,False,22,Brianna Visalli,Birmingham City WFC,23.307724041613326,False,59.58,Left Foot,Left - Outside Foot,Ground,False,Low Pass,Open Play
4814,0.06286886,False,29,Charlie Wellings,Bristol City WFC,10.465658125507442,True,117.3,Right Foot,Right - Outside Foot,Volley,True,Cross,Open Play
4815,0.04794362,False,33,Abbi Grant,Birmingham City WFC,26.60075186907317,False,89.57,Right Foot,Left - Inside Foot,Ground,False,Unassisted,Open Play - Unassisted
4816,0.37396735,False,33,Brianna Visalli,Birmingham City WFC,8.20975030070952,True,87.21,Left Foot,Left - Outside Foot,Ground,True,Unassisted,Open Play - Unassisted
4817,0.010434047,False,35,Kerys Harrop,Birmingham City WFC,35.314161465338515,False,82.35,Left Foot,Left - Outside Foot,Ground,False,Ground Pass,Set Piece - Throw In
4818,0.024791945000000003,False,41,Abbi Grant,Birmingham City WFC,22.218235753542636,False,87.68,Right Foot,Left - Inside Foot,Ground,False,Unassisted,Open Play - Unassisted
